feature,mean,scale
bedrooms,3.3652348268682037,0.9016684131932122
bathrooms,2.1113596051515384,0.7667600729681008
sqft_living,2073.8950412585796,908.5966670965005
sqft_lot,15015.426621423614,39832.58636861646
floors,1.4958741420529036,0.5413800965406362
waterfront,0.006709339091540064,0.08163531013290018
view,0.23043109431634148,0.7560185949079513
condition,3.4063391686589033,0.6493733399077011
grade,7.654970309246549,1.1734162830775845
sqft_above,1788.6201125935065,827.8426577115607
sqft_basement,285.2749286650729,436.88145948983833
yr_built,1971.2059844219943,29.287027720829986
yr_renovated,85.08166885170047,403.1284116420643
zipcode,98077.57885401403,53.329744302256664
lat,47.56064279324439,0.13908316447450722
long,-122.21386982339786,0.13953948603318062
sqft_living15,1986.423768026529,683.3039132515936
sqft_lot15,12874.28479987661,27632.970834311065
